Year,Temp (K)
519,287.48443370691600
520,287.47855061048700
521,287.50859873197700
522,287.4386385077370
523,287.4118685882930
524,287.4667373448290
525,287.4922883613100
526,287.3861347760370
527,287.39176870466200
528,287.3984084550970
529,287.4615619966700
530,287.3617060587220
531,287.3650839716550
532,287.40039753828600
533,287.5165441868770
534,287.52759130345800
535,287.3129066543400
536,287.2520028079950
537,287.2884105314520
538,287.201249897846
539,287.3431702669220
540,287.4736318251670
541,287.4667594778710
542,287.4262890690450
543,287.4800295122810
544,287.3607941735770
545,287.36494781050500
546,287.41019556993200
547,287.4176340685320
548,287.41288590999600
549,287.3187957757670
550,287.31170954462300
551,287.3949817912510
552,287.46275758977600
553,287.39511600739000
554,287.2867339258060
555,287.3244537142960
556,287.36073864296700
557,287.2461012369060
558,287.35031888508500
559,287.3215200433480
560,287.34344447738500
561,287.4346263670280
562,287.4560408692660
563,287.3422098126890
564,287.3804540614750
565,287.4533692862430
566,287.49264155156200
567,287.4434720949590
568,287.48735937260900
569,287.42127727234500
570,287.4387130303260
571,287.40722341768400
572,287.37065592243300
573,287.4227041837650
574,287.47660185418800
575,287.50176595653200
576,287.51591736451300
577,287.39009106870800
578,287.52548961744800
579,287.4254098791450
580,287.3014703741930
581,287.4950150912090
582,287.51527980439800
583,287.49959053814600
584,287.48076577889700
585,287.5521461922960
586,287.5726316322030
587,287.4467044573170
588,287.3315027187050
589,287.41363138761000
590,287.5052712686350
591,287.51996822140500
592,287.45742024965300
593,287.5073125746950
594,287.5877164325780
595,287.4418874516070
596,287.4589441966720
597,287.6145046304470
598,287.4826862015110
599,287.4093640510180
600,287.47952661344600
601,287.3499377688260
602,287.41165507325400
603,287.4375941728320
604,287.49260952980200
605,287.42140327481500
606,287.43557237105000
607,287.39320293777900
608,287.4124423707860
609,287.4204988665390
610,287.3941600922340
611,287.3801304732820
612,287.37906549458800
613,287.3646199802810
614,287.4170823068220
615,287.39509673752200
616,287.4286723009300
617,287.47172900076900
618,287.44469295930100
619,287.4252025718160
620,287.4677487701970
621,287.38057117062700
622,287.40993213618800
623,287.455391975697
624,287.4140110453110
625,287.4478744313800
626,287.4773851841560
627,287.4559713235490
628,287.2912798555130
629,287.1857507494500
630,287.2773382980000
631,287.4017129455140
632,287.40203896635100
633,287.44240383531600
634,287.39452927715000
635,287.34738911906500
636,287.4080789400100
637,287.4133880377650
638,287.4314160490250
639,287.4369463648750
640,287.40733296652500
641,287.48010422669900
642,287.4459836001160
643,287.4984004504720
644,287.3859945549970
645,287.52697322490600
646,287.55898581341000
647,287.3989171633590
648,287.3821642299840
649,287.53619037775600
650,287.47892620058100
651,287.49854028152800
652,287.5292840375500
653,287.5576835013000
654,287.55477438461500
655,287.5652746776800
656,287.5469592695230
657,287.4996799866030
658,287.51536839243600
659,287.4555766149210
660,287.4961549719330
661,287.4204697204900
662,287.56559638936800
663,287.53111623433900
664,287.517608460436
665,287.53176686123500
666,287.39405588368200
667,287.5098150458950
668,287.4784479575260
669,287.4157902417670
670,287.4982600399270
671,287.558237660942
672,287.42240459112500
673,287.4464134235180
674,287.4980156613500
675,287.4692318914530
676,287.47065914897300
677,287.50310779620500
678,287.47425234376300
679,287.4564170976450
680,287.40955296610900
681,287.4729167264590
682,287.4541835435190
683,287.47356792465500
684,287.4942817363630
685,287.43365633270000
686,287.567200087316
687,287.5034151723680
688,287.46814352162500
689,287.5523568069570
690,287.46534388042100
691,287.47636075802300
692,287.60724661643400
693,287.58675126151800
694,287.3781696960040
695,287.45837046415000
696,287.50359099166800
697,287.4452222028070
698,287.4680462542770
699,287.5027735909220
700,287.4468178993000
701,287.5602209498120
702,287.4442273876130
703,287.4731534940180
704,287.5859744772430
705,287.4481295877810
706,287.52438557292300
707,287.39548649575800
708,287.51711655717300
709,287.52953006686500
710,287.4820710691800
711,287.503346893219
712,287.48246695933000
713,287.47441146148900
714,287.525720537976
715,287.4378643298080
716,287.53823254551100
717,287.51684132429000
718,287.4692186606730
719,287.523371267118
720,287.42733272023000
721,287.37385925367900
722,287.5107663967610
723,287.48613407536600
724,287.58037976429900
725,287.53958690052700
726,287.5172182886830
727,287.4603405286920
728,287.45362863679500
729,287.4676151027430
730,287.42770236404800
731,287.35692917670800
732,287.45465354891000
733,287.36285116081300
734,287.4023903211920
735,287.4642169178710
736,287.31595722142500
737,287.43538382598800
738,287.50389963350700
739,287.3868681958670
740,287.47792999544200
741,287.5473077387320
742,287.41142218089100
743,287.4328554773540
744,287.51429968179700
745,287.38066287069600
746,287.485214577069
747,287.38190583479300
748,287.43522430937100
749,287.54797778396600
750,287.516955697284
751,287.4772263479970
752,287.4546580768030
753,287.376251566814
754,287.5082132213800
755,287.50723312974500
756,287.514009784286
757,287.44412096344400
758,287.4217776511230
759,287.4750052367860
760,287.42885846997600
761,287.3950619039690
762,287.42026512656900
763,287.4664602104410
764,287.5177921777510
765,287.53131109299600
766,287.4795780535160
767,287.4125998156340
768,287.4679042961320
769,287.5120969361330
770,287.4494530113220
771,287.5941485861610
772,287.49041045958100
773,287.4370072176820
774,287.3746722194530
775,287.46176090720500
776,287.58618202312500
777,287.3309042799160
778,287.33650741807900
779,287.4021078435610
780,287.3363916811100
781,287.3611739696220
782,287.41691984002800
783,287.5251719385950
784,287.43161290363900
785,287.4465281501330
786,287.4476411098280
787,287.4533787402410
788,287.4697794702800
789,287.60564228906800
790,287.4889562198200
791,287.4596923364210
792,287.35725682293100
793,287.44998292278400
794,287.5104747809320
795,287.45418612743
796,287.52581075671500
797,287.486224869727
798,287.51301876692500
799,287.50923630472100
800,287.35424507659500
801,287.4167570640440
802,287.44269299020700
803,287.3364491483510
804,287.3404065594310
805,287.47017996159900
806,287.49437414674700
807,287.4273490840420
808,287.43107627072900
809,287.4663503819680
810,287.57056182364500
811,287.50861881584500
812,287.56196481108100
813,287.4842993714450
814,287.4329492130110
815,287.4319312868180
816,287.56311388688
817,287.5519995957240
818,287.36461247121200
819,287.4825574026580
820,287.44277103676700
821,287.322882307356
822,287.4636183954480
823,287.45131122395900
824,287.41097741741200
825,287.52841023285600
826,287.43289679641800
827,287.33754258206200
828,287.4110664107980
829,287.48176378033500
830,287.3417810512280
831,287.3976444564680
832,287.4269106182390
833,287.47642190482900
834,287.43549119793500
835,287.4995208067160
836,287.5348399394090
837,287.537221718727
838,287.5007933820160
839,287.5266823999490
840,287.5344964176620
841,287.47373595428800
842,287.5575942937750
843,287.4286527792070
844,287.4545379054890
845,287.36618373058300
846,287.3293179364650
847,287.3319874941400
848,287.33420784959000
849,287.34308204575900
850,287.32163283531600
